CREA-BA - Conselho Regional de Engenharia e Agronomia da Bahia,,,,,
SITAC - Sistema de Informações Técnicas e Administrativas do CREA-BA,,,,,
,,,,,
Relatório Gerencial:,RELATÓRIO GENÉRICO,,,,
Grupo:,RELATÓRIOS,,,,
Descrição:,,,,,
,,,,,
Data/Hora:,06/08/2025 às 16:08:18,,,,
Local:,SEDE - SALVADOR - CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA,,,,
,,,,,
NOME,CAMPUS,CNPJ,CÓDIGO MEC,CÓDIGO REGIONAL,TIPO DE CATEGORIA ACADÊMICA
CENTRO INTEGRADO DE EDUCAÇÃO NAVARRO DE BRITO,,,,,
0 - CENTRO INTEGRADO DE EDUC DE P AFONSO L VIANA FILHO,SEM IDENTIFICAÇÃO,00000000000000,0,,PÚBLICA
CENTRO INTEGRADO DE ENSINO MEDIO E PROFISSIONAL,,,,,
500004803 - CENTRO INTEGRADO LUIS NAVARRO DE BRITO,,,500004803,,
CENTRO INTERESCOLAR AUREO DE OLIVEIRA FILHO,[TRANSFERIDO PARA OUTRO CONSELHO],,,,
CENTRO INTERESCOLAR DE NAZARE,,,,,PÚBLICA
14537 - CENTRO PROFISSIONALIZANTE DE CAMAÇARI,CPC,00237496000111,14537,,PÚBLICA
0 - CENTRO T DE EDUC PROF DO SERTAO DO S FRANCISCO,CETEP,00000000000000,0,,PÚBLICA
CENTRO TECNICO PROFISSIONAL - CETEP/IPIAU,,05211312000249,,,
2015031050 - CENTRO TÉCNICO PROFISSIONAL- CETEP- JEQUIÉ,CETEP,05211312000400,2015031050,,PRIVADA
CENTRO TÉCNICO PROFISSIONAL- PILAR,CETEP,05211312000168,,,PÚBLICA
CENTRO TÉCNICO PROFISSIONAL -SANTA LUZ,,05211312000320,,,
CENTRO TÉCNICO PROFISSIONAL- SANTA LUZ,CETEP/SL,05211312000168,,,
12373 - CENTRO TÉCNICO TEMPLÁRIOS,SÃO GONÇALO DOS CAMPOS,04463898000195,12373,,PRIVADA
CENTRO TÉCNICO VILLAS BOAS LTDA - ME,CENTRO TECNICO SIMÕES FILHO,04739053000180,,,PRIVADA
CENTRO TECNOLÓGICO DE APRENDIZAGEM SENHORA SANTANA - CETASS,ALAGOINHAS,08837453000189,,,PÚBLICA
13241 - CENTRO TECNOLÓGICO DE APRENDIZAGEM SENHORA SANTANA - CETASS,,,13241,,
CENTRO TECNOLOGICO DE EDUCAÇÃO AUREO OLIVEIRA FILHO LIVRAMENTO N.SRA.,CETEB,13937065002072,,,
CENTRO TECNOLOGICO DE INSTRUMENTAÇÃO NELSON TABOADA SOUZA,,,,,
CENTRO TECNOLOGICO EM AUTOMAÇÃO - CTA,CTA,03755356000123,,,
0 - CENTRO TERR DE EDUC PROF DA BACIA DO RIO CORRENTE,CETEP RIO CORRE,13937065000100,0,,PÚBLICA
61 - CENTRO TERR DE EDUC PROF DO LN E AGRESTE BA,CETEPA / LN,02050892000160,61,,PRIVADA
1 - CENTRO TERRI DE EDUC PROF DA B DO RIO GRANDE,CTEPBR,03387712000101,1,,PÚBLICA
0 - CENTRO TERRI DE EDUC PROF PIEMONTE DO PARAGUAÇU I,CETEP PARAGUAÇU,01991490000106,0,,PÚBLICA
CENTRO TERRIT. DE EDUC PROF. DA BACIA DO JACUÍPE 2 J. CAMPOS,NOME ANTIGO: COLÉGIO ESTADUAL JOÃO CAMPOS,01948599000152,,,PÚBLICA
1 - CENTRO TERRIT DE EDUC PROF DE VIT DA CONQUISTA,CETEPVC,13937065000100,1,,PÚBLICA
0 - CENTRO TERRITORIAL DE EDUCAÇÃO PROF. DO PORTAL DO SERTÃO,CETEP - PORTAL DO SERTÃO,00000000000000,0,,PÚBLICA
2013056379 - CENTRO TERRITORIAL DE EDUCAÇÃO PROFISSIONAL,Vitória da Conquista,13937065000100,2013056379,,PÚBLICA
2013004990 - CENTRO TERRITORIAL DE EDUCAÇÃO PROFISSIONAL DA BACIA DO PARAMIRIM,CETEP-PARAMIRIM,13937065000100,2013004990,,PÚBLICA
CENTRO TERRITORIAL DE EDUCAÇÃO PROFISSIONAL DA CHAPADA DIAMANTINA,WAGNER - BA,01994336000180,,,PÚBLICA
4213 - CENTRO TERRITORIAL DE EDUCAÇÃO PROFISSIONAL DA CHAPADA DIAMANTINA II,MORRO DO CHAPÉU - BA,03171841000150,4213,,PÚBLICA
